code,y,x1,x2,x3,x4,x5
7A06878             ,0.883637978,74400,0.0011,0,1547,0
7A06877             ,0.920269313,74200,0.0011,0,1530,0
7A06875             ,0.9096801,73600,0.0012,0,0,1450
7A06874             ,0.932447029,72400,0.0009,0,0,1450
7A06873             ,0.913351683,70350,0.0007,0,0,1450
7A06871             ,0.910469464,73050,0.0014,0,0,1450
7A06870             ,0.892347873,74300,0.0009,0,0,1580
7A06869             ,0.879989312,74850,0.0011,220,0,1330
7A06868             ,0.859754809,81350,0.0016,220,0,1490
7A06867             ,0.758034933,73850,0.0013,200,0,1590
7A06865             ,0.756319395,67400,0.0015,0,0,1530
7A06864             ,0.839212112,70000,0.001,0,0,1520
7A06862             ,0.790662651,70000,0.0011,200,0,1400
7A06861             ,0.865692771,70100,0.0013,200,0,1300
7A06860             ,0.73207375,67400,0.0012,200,0,1450
7A06859             ,0.782169494,64700,0.0011,200,0,1270
7A06858             ,0.767444009,69800,0.0012,200,0,1430
7A06857             ,0.747191469,63300,0.0014,200,0,1280
7A06856             ,0.808930527,70100,0.0011,200,0,1340
7A06855             ,0.777374203,67500,0.0014,200,0,1330
7A06854             ,0.843373494,70000,0.001,200,0,1300
7A06853             ,0.850029489,68400,0.0015,200,0,1230
7A06852             ,0.746539137,62900,0.0011,200,0,1310
7A06851             ,0.777811245,63500,0.0011,200,0,1300
7A06850             ,0.84137931,66400,0.0008,200,0,1250
7A06849             ,0.868392927,71500,0.0009,200,0,1350
7A06848             ,0.861294502,72800,0.0013,0,1553,0
7A06847             ,0.839279448,70000,0.0009,0,1545,0
7A06846             ,0.902495925,70600,0.0007,0,1508,0
7A06845             ,0.891292442,74400,0.0011,0,1496,0
7A06843            ,0.968788949,71750,0.0005,0,0,1450
7A06835             ,0.890121296,71700,0.0013,0,0,1480
7A06834             ,0.898889676,76100,0.0014,0,0,1530
7A06833             ,0.805478407,72250,0.0014,0,0,1540
7A06831             ,0.911342739,73000,0.0009,0,0,1520
7A06830             ,0.921129724,72600,0.0009,0,0,1460
7A06829             ,0.907976735,70500,0.001,0,0,1450
7A06828             ,0.906265688,70450,0.0006,0,0,1440
7A06827             ,0.880714639,71150,0.0007,0,0,1460
7A06826             ,0.884909639,69950,0.0007,0,0,1500
7A06825             ,0.930174269,70300,0.001,0,0,1400
7A06824             ,0.918064865,69250,0.001,0,0,1420
7A06823             ,0.950374926,75200,0.0013,0,0,1430
7A06821             ,0.9222644,70400,0.0006,0,0,1460
7A06820             ,0.893851089,70450,0.0008,200,0,1260
7A06818             ,0.897417372,71700,0.0006,200,0,1280
7A06817             ,0.904225008,74050,0.0011,200,0,1280
7A06815             ,0.889794472,72900,0.0009,200,0,1330
7A06814             ,0.903358434,73150,0.0012,200,0,1300
7A06813             ,0.901504106,74000,0.0011,200,0,1370
7A06811             ,0.809176707,68300,0.0014,200,0,1300
7A06810             ,0.880091796,72800,0.0014,200,0,1270
7A06809             ,0.891236178,72000,0.0014,200,0,1260
7A06808             ,0.869277108,72150,0.0013,200,0,1300
7A06807             ,0.934549007,71750,0.0009,200,0,1280
7A06806             ,0.884558233,71050,0.0011,200,0,1300
7A06805             ,0.839909639,71500,0.0016,200,0,1300
7A06804             ,0.919794041,69000,0.0011,200,0,1280
7A06803             ,0.966158753,77900,0.0008,200,0,1330
7A06802             ,0.835918176,67050,0.0014,200,0,1310
7A06801             ,0.887766527,74050,0.0009,200,0,1320
7A06800             ,0.886025089,73100,0.001,300,1278,0
7A06799             ,0.882344378,73850,0.0011,300,0,1200
7A06798             ,0.893887653,75150,0.0007,300,0,1270
7A06797             ,0.858205693,75900,0.0012,300,1285,0
7A06796             ,0.897451191,74000,0.0011,300,1215,0
7A06794             ,0.939398705,75500,0.0006,300,0,1213
7A06789             ,0.885354891,73200,0.0009,0,1544,0
7A06787             ,0.876862714,70800,0.0006,200,0,1320
7A06786             ,0.906357573,68500,0.0009,200,0,1200
7A06785             ,0.891576373,72900,0.0011,200,0,1290
7A06784             ,0.897549931,74000,0.0013,200,0,1290
7A06783             ,0.891320384,72500,0.0012,200,0,1270
7A06782             ,0.876238174,72850,0.0012,200,0,1290
7A06780             ,0.893662488,73800,0.0013,200,0,1280
7A06779             ,0.903951332,75400,0.0007,200,0,1320
7A06778             ,0.898531627,70300,0.0011,200,0,1320
7A06777             ,0.767451054,64200,0.0013,200,0,1400
7A06776             ,0.891121303,71750,0.001,200,0,1340
7A06775             ,0.836931058,71450,0.0011,0,0,1620
7A06774             ,0.891855092,72050,0.001,200,0,1260
7A06773             ,0.90239479,71500,0.0011,200,0,1220
7A06772             ,0.924797228,73400,0.0008,200,0,1330
7A06771             ,0.81109733,68100,0.0007,200,0,1330
7A06770             ,0.888369704,74850,0.0011,200,0,1310
7A06769             ,0.904025192,74550,0.001,200,0,1340
7A06767             ,0.771435743,63500,0.0012,200,0,1300
7A06766             ,0.88373494,73350,0.0009,200,0,1300
7A06764             ,0.928473896,75800,0.0009,200,0,1300
7A06763             ,0.900301205,73500,0.0008,200,0,1300
7A06762             ,0.937871486,77200,0.0008,200,0,1300
7A06761             ,0.873483936,71900,0.0008,200,0,1300
7A06760             ,0.862630522,72200,0.0011,200,0,1300
7A06757             ,0.883996512,74350,0.0013,0,1596,0
7A06755             ,0.831309634,75800,0.0016,0,1538,0
7A06754             ,0.889868459,78800,0.0012,0,1547,0
7A06753             ,0.890827777,68150,0.0012,0,0,1348
7A06752             ,0.943187957,75300,0.0009,0,0,1539
7A06751             ,0.943898041,74300,0.0012,0,0,1470
7A06747             ,0.929032896,75950,0.0009,0,0,1539
7A06746             ,0.893173666,70050,0.0007,0,0,1441
7A06745             ,0.447354636,75600,0.001,0,0,3105
7A06744             ,0.921063565,73900,0.001,0,0,1450
7A06742             ,0.915859992,66300,0.0012,0,0,1450
7A06741             ,0.899792273,72800,0.001,0,0,1450
7A06740             ,0.857914416,70000,0.0012,0,0,1450
7A06739             ,0.869423641,71200,0.001,0,0,1480
7A06738             ,0.816244287,66600,0.001,0,0,1450
7A06737             ,0.875470033,74200,0.0011,0,0,1570
7A06736             ,0.857032561,73100,0.0009,0,0,1580
7A06735             ,0.873455849,73900,0.0011,0,0,1580
7A06734             ,0.859670826,72650,0.0011,0,0,1540
7A06733             ,0.794200776,64700,0.0011,0,0,1460
7A06732             ,0.805663443,74600,0.0016,0,0,1520
7A06730             ,0.894811641,71500,0.0011,0,0,1420
7A06729             ,0.941478083,79850,0.0011,0,0,1520
7A06728             ,0.850113219,67450,0.0013,0,0,1410
7A06727             ,0.893508244,75150,0.0012,0,0,1520
7A06726             ,0.934497484,76000,0.0008,0,0,1580
7A06725             ,0.91424371,73750,0.0011,0,0,1470
7A06724             ,0.928687724,71300,0.0005,0,0,1480
7A06723             ,0.93436245,74450,0.001,0,0,1440
7A06722             ,0.856719983,70500,0.0011,0,0,1450
7A06721             ,0.910614288,71550,0.0009,0,0,1420
7A06720             ,0.910598379,72150,0.001,0,0,1420
7A06719             ,0.880722892,68800,0.001,0,0,1400
7A06718             ,0.960413081,72000,0.0011,0,0,1400
7A06717             ,0.903363454,73200,0.0012,0,0,1440
7A06716             ,0.926330321,73200,0.001,0,0,1440
7A06715             ,0.917843248,71350,0.001,0,0,1440
7A06714             ,0.878576807,71800,0.0013,0,0,1600
7A06713             ,0.909178079,69350,0.0009,0,0,1390
7A06712             ,0.906284228,73550,0.0012,0,0,1430
7A06710             ,0.912425211,73000,0.001,0,0,1470
7A06709             ,0.955537149,72650,0.0011,200,0,1300
7A06707             ,0.926054217,70950,0.0012,200,0,1300
7A06706             ,0.917560241,74300,0.0013,200,0,1300
7A06705             ,0.870993976,72900,0.0013,0,0,1500
7A06704             ,0.912886841,75400,0.0013,0,0,1530
7A06703             ,1.029549231,76250,0.0012,0,0,1450
7A06702             ,0.894266722,70000,0.0011,0,0,1450
7A06701             ,0.96852929,74600,0.0013,0,0,1450
7A06700             ,0.925722892,72600,0.0014,0,0,1500
7A06699             ,0.88498996,72250,0.001,0,0,1500
7A06698             ,0.952368093,72200,0.0011,0,0,1450
7A06697             ,0.929871209,72200,0.0012,0,0,1450
7A06696             ,0.925643955,73050,0.0012,0,0,1450
7A06693             ,0.884672134,71850,0.001,0,0,1480
7A06692             ,0.837447831,72100,0.0011,0,0,1530
7A06691             ,0.908053266,71600,0.0009,0,0,1520
7A06688             ,0.911230637,72400,0.0011,200,0,1200
7A06687             ,0.934043466,75050,0.0009,200,0,1240
7A06686             ,0.941641566,73200,0.0008,200,0,1240
7A06685             ,0.946577979,74800,0.0008,200,0,1240
7A06684             ,0.890779679,73700,0.0008,0,0,1570
7A06683             ,0.87879295,69000,0.0008,200,0,1420
7A06682             ,0.914212405,74500,0.0009,200,0,1420
7A06681             ,0.948230422,69350,0.0008,200,0,1320
7A06680             ,0.938721101,73800,0.0008,200,0,1280
7A06679             ,0.903232932,72550,0.0009,200,0,1300
7A06678             ,0.8872414,75250,0.0012,200,0,1320
7A06676             ,0.874625987,69050,0.0014,200,0,1310
7A06675             ,0.897869074,73450,0.0013,200,0,1340
7A06674             ,0.893696361,74050,0.0011,200,0,1260
7A06672             ,0.92064759,74550,0.0008,200,0,1300
7A06671             ,0.875421687,69200,0.0011,200,0,1300
7A06670             ,0.861277882,69950,0.0011,200,0,1280
7A06669             ,0.884828789,73200,0.0016,200,0,1320
7A06668             ,0.892020067,71550,0.0012,200,0,1310
7A06667             ,0.895662651,70800,0.0013,200,0,1300
7A06666             ,0.90620046,70900,0.0011,200,0,1320
7A06665             ,0.880246476,73300,0.001,200,0,1330
7A06664             ,0.887919324,74550,0.0009,200,0,1330
7A06663             ,0.915348444,67050,0.0007,0,0,1390
7A06662             ,0.85786835,70850,0.0011,0,0,1505
7A06661             ,0.88619651,71700,0.0013,0,0,1450
7A06659             ,0.92913615,72300,0.0013,0,0,1418
7A06658             ,0.935846188,76300,0.0009,0,0,1498
7A06655             ,0.852651678,74600,0.0013,0,0,1568
7A06654             ,0.904560078,72700,0.0013,0,0,1513
7A06653             ,0.907286524,76100,0.0009,0,0,1579
