炉号,c收得率,转炉终点温度,钢水净重,转炉终点C,石油焦增碳剂,碳化硅(55%)
7A06878             ,0.914079777,1644,74400,0.00065,85,88
7A06877             ,0.867338987,1543,74200,0.00077,68,132
7A06875             ,0.867960233,1674,73600,0.00048,85,132
7A06874             ,0.980391636,1800,72400,0.00036,90,132
7A06873             ,0.971310986,1660,70350,0.00022,90,132
7A06871             ,0.916685572,1666,73050,0.00063,80,132
7A06870             ,0.693482888,1666,74300,0.00106,58,132
7A06869             ,0.999352762,1658,74850,0.00043,85,132
7A06868             ,0.974445997,1662,81350,0.0005,85,132
7A06867             ,0.915636747,1660,73850,0.00042,85,132
7A06865             ,0.759174479,0,67400,0.00065,75,132
7A06864             ,0.828346028,1655,70000,0.00046,85,132
7A06862             ,0.847642235,1651,70000,0.00041,93,132
7A06861             ,0.925412541,1679,70100,0.0004,90,132
7A06860             ,0.716458296,1618,67400,0.00054,102,132
7A06859             ,0.819467018,1643,64700,0.00067,75,132
7A06858             ,0.816696576,1662,69800,0.00067,75,132
7A06857             ,0.754453056,1661,63300,0.00067,75,132
7A06856             ,0.806534817,1646,70100,0.00067,70,132
7A06855             ,0.783864314,1645,67500,0.00068,68,132
7A06854             ,0.934058816,1642,70000,0.00034,93,132
7A06853             ,0.866589882,1648,68400,0.00097,51,132
7A06852             ,0.78534661,1662,62900,0.00067,68,132
7A06851             ,0.633423645,1689,63500,0.00138,34,132
7A06850             ,0.852844037,1660,66400,0.00065,75,132
7A06849             ,0.92078793,1652,71500,0.00071,68,132
7A06848             ,0.883533303,1707,72800,0.00085,51,132
7A06847             ,0.87536696,1668,70000,0.00066,68,132
7A06846             ,0.990465553,1677,70600,0.00034,85,132
7A06845             ,0.913499908,1689,74400,0.0007,68,132
7A06843            ,0.983887556,1651,71750,0.0003,85,132
7A06835             ,0.920785912,1677,71700,0.00073,68,132
7A06834             ,0.940495752,1656,76100,0.00054,80,132
7A06833             ,0.887315104,1672,72250,0.00049,85,132
7A06831             ,0.938316104,0,73000,0.00041,85,132
7A06830             ,0.929749349,1678,72600,0.00033,85,132
7A06829             ,0.772528317,1640,70500,0.00101,51,132
7A06828             ,0.914935065,1651,70450,0.00072,68,132
7A06827             ,0.844803392,1656,71150,0.00076,68,132
7A06826             ,0.863778954,1661,69950,0.00069,68,132
7A06825             ,0.982297971,1667,70300,0.00073,51,132
7A06824             ,0.901720663,1693,69250,0.00072,68,132
7A06823             ,0.845635992,1656,75200,0.00108,51,132
7A06821             ,0.931381196,1647,70400,0.0008,51,132
7A06820             ,0.92713315,1677,70450,0.00077,54,132
7A06818             ,0.81051215,1618,71700,0.00093,68,132
7A06817             ,0.996275941,1805,74050,0.00077,51,132
7A06815             ,0.954334656,1647,72900,0.00042,95,88
7A06814             ,0.944632768,1659,73150,0.0008,75,88
7A06813             ,0.907161804,1672,74000,0.00059,90,88
7A06811             ,0.799598455,1687,68300,0.00119,40,88
7A06810             ,0.805310963,1664,72800,0.00104,51,88
7A06809             ,0.905483518,1669,72000,0.00069,80,88
7A06808             ,0.83530303,1669,72150,0.00071,80,88
7A06807             ,0.872000623,0,71750,0.00074,80,88
7A06806             ,0.904756554,1675,71050,0.0006,85,88
7A06805             ,0.814243839,1663,71500,0.001,51,88
7A06804             ,0.801239758,0,69000,0.00088,60,88
7A06803             ,0.945494735,1657,77900,0.00069,75,88
7A06802             ,0.92561568,1651,67050,0.00078,68,88
7A06801             ,0.87285895,1624,74050,0.00053,102,88
7A06800             ,0.727927821,1669,73100,0.0014,34,88
7A06799             ,0.923816479,1673,73850,0.00063,85,88
7A06798             ,0.937930728,1682,75150,0.00097,51,88
7A06797             ,0.894297677,1672,75900,0.00071,85,88
7A06796             ,0.990318119,1679,74000,0.00061,85,88
7A06794             ,0.916541415,1682,75500,0.00082,68,88
7A06789             ,0.996626109,1720,73200,0.00035,102,88
7A06787             ,0.798356643,1638,70800,0.00101,51,132
7A06786             ,0.819785514,1678,68500,0.00076,68,132
7A06785             ,0.811804009,1664,72900,0.00075,68,132
7A06784             ,0.922644657,1687,74000,0.00078,51,132
7A06783             ,0.89654885,1671,72500,0.00094,51,132
7A06782             ,0.911953767,1667,72850,0.00077,68,132
7A06780             ,0.817225469,1679,73800,0.00076,68,132
7A06779             ,0.922888617,1654,75400,0.0007,68,132
7A06778             ,0.720639535,1687,70300,0.00076,68,132
7A06777             ,0.699939431,1705,64200,0.00076,68,132
7A06776             ,0.832137952,1653,71750,0.00078,68,132
7A06775             ,0.920571331,1694,71450,0.00038,85,132
7A06774             ,0.829192934,1639,72050,0.00063,75,132
7A06773             ,0.879659643,1652,71500,0.00063,75,132
7A06772             ,0.906765497,1645,73400,0.0006,75,132
7A06771             ,0.874322397,1641,68100,0.00051,85,132
7A06770             ,0.845177388,1682,74850,0.00065,75,132
7A06769             ,0.910117503,1658,74550,0.0007,68,132
7A06767             ,0.706204939,1688,63500,0.00075,68,132
7A06766             ,0.797792706,1666,73350,0.0006,95,132
7A06764             ,0.945496829,1648,75800,0.00053,80,132
7A06763             ,0.844158416,0,73500,0.00046,90,132
7A06762             ,0.968184818,1803,77200,0.0004,90,132
7A06761             ,0.918550385,1802,71900,0.00034,92,132
7A06760             ,0.888586604,1645,72200,0.0004,93,132
7A06757             ,0.99546517,1651,74350,0.00063,68,132
7A06755             ,0.892203227,1678,75800,0.00086,68,88
7A06754             ,0.983573818,1679,78800,0.00091,51,132
7A06753             ,0.922455794,1673,68150,0.00083,51,132
7A06752             ,0.842053541,1675,75300,0.00065,85,132
7A06751             ,0.929784863,1691,74300,0.00074,68,88
7A06747             ,0.943804284,1672,75950,0.00033,102,88
7A06746             ,0.932010456,1715,70050,0.00022,102,88
7A06745             ,0.711090092,1629,75600,0.00051,102,132
7A06744             ,0.958787664,1645,73900,0.00047,80,132
7A06742             ,0.961911115,1674,66300,0.00056,58,132
7A06741             ,0.98894559,1684,72800,0.00041,78,132
7A06740             ,0.849167032,1686,70000,0.001,40,132
